video_id,title,description,channel_id,channel_title,view_count,like_count,comment_count,topics,latitude,longitude,published_at,duration,url,national_park
9Opgv-jAIv4,2 päivän retki aloittelijan kanssa - Retkeilyvarusteet ja retkeily Repoveden Kansallispuistossa,"Retkeilyä ja varuste-esittelyä Repoveden kansallispuistossa. Mitä Mitä vaellus- ja retkeilyvarusteita suosittelisin kaverille joka harkitsee retkeilyn aloittamista?

Itsellä oli tällä retkellä testissä Bushmen Ultralight 3x3m tarppi. Vielä on aikaista sanoa onko tämä kestävä tuote, mutta ensivaikutelma oli vakuuttava 🤌 Myös uusi hyttysverkko saa varovaisen 👍 mutta ei se täydelliseltä tuotteelta silti vaikuttanut.

Leevin, eli aloittelijan kommentit lainassa olleista varusteista:

Savotta jääkäri L rinkka:
-

Carinthia defence 1 makuupussi:
-

Therm-a-Rest RIDGEREST SOLITE makuualusta:
-

3F UL GEAR Lanshan 2 Pro teltta
-

Videolla tulee hyvin esille myös Repovesi retkikohteena sekä Olhava kiipeilykohteena. Kiipeily Olhavalla.",UC-qkeYYA0tyORf3sKB-DSzg,Sakke Raappana,15688.0,331.0,56.0,"Hobby,Lifestyle_(sociology),Tourism",,,2022-05-26 04:00:02+00:00,PT31M23S,https://www.youtube.com/watch?v=9Opgv-jAIv4,Repovesi
M7AFw7l1Jtw,Repoveden kansallispuisto - Repovesi melonta ja vaellus,"Tehtiin Retkireppu youtube kanavalta tutun Peterin kanssa 2020 loppusyksyn retki jonka kohteeksi valikoitui Repoveden kansallispuisto. Kotateltassa ja kamiinan lämmössä oli mukava viettää kaksi yötä kansallispuiston reunalla. Varsinainen vaellus jäi tällä kertaa vähäiseksi mutta Repovesi tarjosi silti hienoja maisemia sekä ruskan värejä. Välillä hieman hidastempoisempi retkeily onkin paikallaan.

Muistakaa katsoa myös Peterin youtube:
https://www.youtube.com/channel/UChBPAnbOE1bTbvEp-dttZXA

Avokanootti. Melontavaellus. Vaellus 2020. Repovesi. Repoveden kansallispuisto. Kotateltta. Titaanikamiina. Kamiina. Ruska.",UC-qkeYYA0tyORf3sKB-DSzg,Sakke Raappana,6480.0,229.0,40.0,"Hobby,Lifestyle_(sociology),Tourism",61.1879953,26.9023636,2020-10-31 04:00:02+00:00,PT13M16S,https://www.youtube.com/watch?v=M7AFw7l1Jtw,Repovesi
F6MBymR_kRs,Talvinen yön yli retki Liesjärven Kansallispuistossa - RETKEILY,"Vietin talvisen yön Liesjärven kansallispuistossa sijaitsevassa varaustuvassa. Sain kunnian käyttää Peter Roen säveltämää vielä julkaisematonta kappaletta alku kohtauksen musiikkina! Peterillä on myös retkeilyyn ja vaellukseen kesittyvä youtube kanava:
https://www.youtube.com/channel/UChBPAnbOE1bTbvEp-dttZXA

Nakkivideo. Liesjärvi. Liesjärven kansallispuisto. Vaellus 2021. Vaellus lapissa.",UC-qkeYYA0tyORf3sKB-DSzg,Sakke Raappana,4624.0,157.0,71.0,"Hobby,Lifestyle_(sociology),Tourism",60.6535892,23.8977183,2021-02-09 12:11:43+00:00,PT17M47S,https://www.youtube.com/watch?v=F6MBymR_kRs,Liesjärvi
W1Gw3_aFKVY,Yö kotateltassa Petkeljärven kansallispuistossa - Retkeily,"Retkeilyä, kalastusta, kotatelttailua, punaviiniä ja hyvää retkiruokaa.

Petkeljärvi on Suomen itäisin kansallispuisto. Puisto ja sen lähimaastot ovatkin mahtavia kohteita niin päiväretkeilyyn kuin metsässä yöpymiseenkin. Kansallispuistosta saa alkunsa myös mm. Taitajan Taival niminen vaellusreitti.

Käy kurkkaamassa visitilomantsi.fi",UC-qkeYYA0tyORf3sKB-DSzg,Sakke Raappana,10678.0,260.0,49.0,"Hobby,Lifestyle_(sociology),Tourism",,,2021-07-28 13:18:14+00:00,PT20M57S,https://www.youtube.com/watch?v=W1Gw3_aFKVY,Petkeljärvi
PG3uC2nQj60,"Ilomantsi ja Patvinsuon kansallispuisto, vaelluskohteen kartoitus - Retkeily","Ajatus on lähitulevaisuudessa tehdä vaellus Ilomantsissa, tarkemmin Patvinsuon kansallispuistossa. Tällä lyhyellä retkellä kävimme pyörähtämässä alueella ja tutustumassa maastoon. Tarinana tämä retki ja video jäi hieman tyngäksi, mutta sain sentään muutaman hienon dronekuvan 💎",UC-qkeYYA0tyORf3sKB-DSzg,Sakke Raappana,2275.0,87.0,17.0,"Hobby,Lifestyle_(sociology)",63.1131218,30.7011862,2021-01-06 05:00:10+00:00,PT6M28S,https://www.youtube.com/watch?v=PG3uC2nQj60,Patvinsuo
LJ-WA6r3gvU,KALASTUS - Vaellus kanootilla Hossan kansallispuistossa ja Perankajoella,"Neljän päivän kalastuspainotteinen vaellus kanootilla meloen Perankajokea pitkin Hossan kansallispuistoon. Matkan varrella kahlataan läpi matalien koskien ja iltaisin syödään tuoretta kalaa leirinuotiolla. Retkeily- ja kuvauskaverina oli jälleen kerran Peter Retkireppu -youtubekanavalta. Iso kiitos Peterille retkiseurasta ja kuvaamisesta!

Peterin kanava: https://bit.ly/3AVsOQ7

Iso kiitos myös videon yhteistyökumppanille, Eräkettu Melontaliikkeelle! Videon Esquif Prospecteur -kanootti ja muita melontatarvikkeita on ostettu Eräketun liikkeestä. 

Eräkettu: https://www.erakettu.com/wp/

Kiitos myös Kanootti & Tomaatti -youtubekanavan Vettikselle kun suositteli tätä reittiä meille! Myös mainitulla kanavalla on video tästä reitistä, mutta korkeamman veden aikaan!

Tällä reissulla tuli myös testattua kevytretkeily -piireissä suosiota niittänyt 3F UL Gear Lanshan 2 Pro teltta. 

Kalastus, melonta, avokanootti, vaellus, melontavaellus, Hossa, Perankajoki, Esquif, Prospecteur, Retkireppu, Eräkettu, retkeily, kalastusvaellus, kalan käsittely, hauen käsittely, kalan perkaaminen, kalan fileointi, 3F UL Gear Lanshan 2 Pro, Kevytretkeily",UC-qkeYYA0tyORf3sKB-DSzg,Sakke Raappana,21217.0,367.0,96.0,"Hobby,Lifestyle_(sociology),Tourism",,,2021-08-20 12:54:44+00:00,PT47M55S,https://www.youtube.com/watch?v=LJ-WA6r3gvU,Hossa
1gJZPYvampI,Vaellus yksin Lapissa - Ruska-vaellus Pallas-Yllästunturin kansallispuistossa,"Vaellus Puljun erämaassa vaihtui viime hetkellä vaellukseksi Pallas-Yllästunturin kansallispuistossa. Elettiin syyskuun puoliväliä ja ruska Lapissa oli miltei komeimmillaan. 

Kulkemani reitti oli: Yllästunturin luontokeskus - Kesänkijärvi - Latvamaja - Karhukota - Pyhäjärvi.

Reitti oli monilta osin hyvin suosittu ja ihmisiä oli paljon. Varsinaisia vaeltajia oli erittäin vähän, mutta päiväretkeilijöitä ja etenkin maastopyöräilijöitä seudulla riitti. Kaikesta huolimatta luonto oli kaunista ja väenpaljoudesta huolimatta reissusta jäi hyvä ja rentoutunut mieli. Tätä reittiä ja näitä maastoja voisinkin suositella esimerkiksi aloittelevalle vaeltajalle. Pääosin suunnistus on helppoa, sen kun seuraa polkuja. Yllästunturin, Pyhätunturin sekä Aakenustunturin välissä on kuitenkin soinen erämaavyöhyke, jossa ei uskoakseni liiku juuri ketään. Sinne ei kannata eksyä, toisaalta kartan ja kompassin avulla suunnistaen sieltä löytyy varmasti omaa rauhaa jos sitä kaipaa!

Videolla lyhyt esittely Gränsfors wildlife hatchet -kirveestä sekä Leatherman Free P4 -monitoimityökalusta retkeilijän näkökulmasta.

Kiitos Cabin Echoes ja Samuli Raappana musiikeista joita sain videolla käyttää! 

Lappi, Vaellus, Ruskavaellus, Lapin ruska, Ruska lapissa, Ylläs, Äkäslompolo, Pallas ylläs tunturin kansallispuisto, kansallispuisto, Retkeily.

Hiking in Lapland. Hiking and fishing in northern Finland in autumn colors.
This video is about wild camping, bushcrafting and wilderness hiking in Finnish nature.",UC-qkeYYA0tyORf3sKB-DSzg,Sakke Raappana,13918.0,388.0,49.0,"Hobby,Lifestyle_(sociology),Tourism",67.9666667,24.1333333,2023-06-04 04:45:00+00:00,PT41M39S,https://www.youtube.com/watch?v=1gJZPYvampI,Pallas-Yllästunturi
mUf7cZtk7_U,Vaellus läpi Nuuksion kansallispuiston - Kevytretkeily - Ultralight backpacking - Vaellus 2023,"Tällä videolla vaellan enemmän tai vähemmän Nuuksion kansallispuiston halki ultra-kevyellä retkeilyvarustuksella. Olen viimein saanut kevyen varustukseni peruspainon vietyä alle maagisen 5 kg rajan, ja tämä vielä siten, etten koe joutuneeni luopumaan kovinkaan monesta mukavuudesta!

Peruspainolla viitataan koko repun painoon ennen kulutustavaroiden lisäämistä. Peruspainoon lasketaan yleensä mukaan seuraavat asiat: rinkka, majoite, nukkumissysteemi, keittiö, henkilökohtaiset hygieniatarvikkeet, ensiapupakkaus, irtotavarat ja vaihtovaatteet ja mahdollisesti käytetyt kuivapussit.

Peruspainon jälkeen rinkkaan tulee yleensä vielä polttoaineet sekä ruoat ja joskus myös juomavesi. En ole laskenut varustelistaani videotuotantoon liittyvien varusteiden painoa. 

Suosittelen kaikkia rinkan keventämisestä kiinnostuneita vaeltajia punnitsemaan keittiövaa'alla kaikki retkeilytarvikkeet ja vaihtovaatteet joita aikoo vaellukselle pakata. Se saattaa olla silmiä avaava kokemus. Ainakin itse yllätyin kuinka suurta roolia vaihtovaatteet oman rinkkani painonjakaumassa näytteli.

Kiitos www.jack-wolfskin.fi kun olen saanut olla tekemässä brändilähettilään töitä kanssanne 🙌

0:00 - 1:10 Kevytretkeily info
1:10 - 3:31 Retki alkaa
3:31 - 5:35 Vihainen metso hyökkää
5:35 - 6:37 Patikointi
6:37 - 7:11 Holma-saarijärvi leiripaikka
7:11 - 9:20 Ultra-kevyt-retkeily-varusteiden esittely
9:20 - 11:00 X Mid Pro 2 teltan pystytys
11:00 - 11:52 Iltatoimet leirissä
11:52 - 12:20  Toisen vaelluspäivän aamu
12:20 - 14:12 Nemo solumuovi makuualusta
14:12 - 15:34 Kuivapussit ja rinkan pakkaaminen
15:34 - 16:02 Shout out Ossi Määttä ja Farlite.fi
16:02 - 19:36 Pohdintaa kevytretkeilystä ja ultralight-vaelluksesta
19:36 - 21:10 Vaellushousut - Jack Wolfskin Ziegspitz Pants
21:10 - 21:40 Juomavesi vaelluksella
21:40 - 22:55 Retkeilyä Nuuksiossa
22:55 - 24:41 Haukkalampi
24:41 - 27:33 Vaellus kohti Kattilajärveä
27:33 - 28:50 Kuoritakki - Jack Wolfskin Prelight 2.5l Jkt
28:50 - 29:44 Kevytretkeily- ja vaellusvaatteet 
29:44 - 30:55 Karjakaivo - Urja
30:55 - 34:34  Naku-uinti ja retkiruokaa
34:34 - 35:18 Valklampi telttailualue
35:18 - 35:50 Hauklampi
35:50 - 36:36 Vaelluksen loppusanat",UC-qkeYYA0tyORf3sKB-DSzg,Sakke Raappana,16342.0,466.0,148.0,"Hobby,Lifestyle_(sociology),Tourism",,,2023-05-16 11:20:28+00:00,PT36M37S,https://www.youtube.com/watch?v=mUf7cZtk7_U,Nuuksio
rpY6NK0hE5Y,Melontavaellus - Petkeljärven kansallispuisto,"Melontavaellus Ilomantsissa sijaitsevassa Petkeljärven kansallispuistossa. Vaellus osuus jäi tällä kertaa hieman vaatimattomammaksi. Sen sijaan viini virtasi, guitalele ja huuliharppu soivat kun pidimme tulia Keltasilmän laavulla. Vietimme retkellä yhteensä kaksi yötä. Kotateltta ja yön yli retkeily tuntuvat sopivan hyvin yhteen.

Käy kurkkaamassa Retkireppu youtube kanava, josta löytyy Peterin video samasta reissusta! :)
https://www.youtube.com/channel/UChBPAnbOE1bTbvEp-dttZXA

Linkki suoraan Reissukarjut videoon:
https://www.youtube.com/watch?v=L6S0eF-UI-U

Petkeljärvi. Petkeljärven kansallispuisto. Ilomantsi. Melontavaellus. Vaellus. Avokanootti. Intiaanikanootti. Melonta. Vaellus 2020. Taitajantaival. Retkeily. Kotateltta. Yön yli retkeily.",UC-qkeYYA0tyORf3sKB-DSzg,Sakke Raappana,7331.0,208.0,30.0,"Hobby,Lifestyle_(sociology),Tourism",62.5904329,31.1790635,2020-09-26 03:00:06+00:00,PT21M17S,https://www.youtube.com/watch?v=rpY6NK0hE5Y,Petkeljärvi
bvAtO7EVBbE,Hiihtovaellus 2024 Harjoitus - Seitsemisen Kansallispuisto,"Paikallisen Samulin haaveena on jonain päivänä tehdä hiihtovaellus Lapissa siten, että se tapahtuu avotunturimaastossa retkikuntatyyppisesti. 

Retkikuntatyyppisellä hiihtovaelluksella tarkoitetaan yleensä puurajan yläpuolella tapahtuvaa hiihtovaellusta, joka tapahtuu täysin omaehtoisesti. Tällöin majoitutaan yleensä tunneliteltoissa ja mukana kuljetetaan bensakeitintä sekä polttoainetta. Kaikki tarvittava tavara kulkee ahkiossa. Päivien rytmi koostuu pääasiassa hiihtämisestä sekä vesihuollosta, eli lumen sulattamisesta vedeksi. 

Tämä hiihtovaellus harjoitus toteutettiin Seitsemisen kansallispuistossa. Hiihdimme lumisten suoalueiden yli ja leiriydyimme järven jäälle. Meillä oli bensavuoto MSR Whisperlite keittimessä, mutta onnistuimme Expedition repair kitillä korjaamaan tilanteen.

Minulla oli ensikertaa testissä Paris Pulk ahkio ja annoin paikalliselle Samulille lainaan Fjellpulken 144 ahkioni. Minä hiihdin tunturisuksilla ja Samulilla oli liukulumikengät. Molemmilla pärjäsi oikein mukavasti, mutta metsäsukset olisivat silti olleet kuningasvaihtoehto. 

0:00 - 0:25 Intro
0:25 - 3:22 Ahkion pakkaaminen
3:22 - 4:00 Ahkion vetonarun säätäminen
4:00 - 4:58 Hiihtovaelluksen harjoittelu alkaa
4:58 - 6:21 Evästauko tunnin hiihtämisen jälkeen
6:21 - 8:25 Metsäsukset, tunturisukset vai liukulumikengät?
8:25 - 8:50 Hirven jäljet lumessa
8:50 - 9:37 Saapuminen leiripaikalle
9:37 - 10:27 Avanto kirveellä järven jäähän
10:27 - 16:01 MSR Whisperlite bensakeitin vuoto ja korjaus
16:01 - 16:53  Keitinlaatikko ja bensakeittimen turvallinen käyttö
16:53 - 17:51  Lämmintä vettä termarissa
17:51 - 18:19 Tähtitaivas pakkaskelillä, Otava ja Pohjantähti
18:19 - 22:00 Retkiruokaa, Norjalaiset voileivät
22:00 - 23:40 Teltassa nukkuminen talvella
23:40 - 25:08 Retkiruokaa bensakeittimellä, puuroa ja aamukahvit
25:08 - 25:30 Lumen sulattaminen vedeksi
25:30 - 28:05 Keskustelua erilaisista talviretkeilyn muodoista
28:05 - 29:32 Sukset jalkaan ja hiihtämään
29:32 - 31:10 Hiihtäminen suolla
31:10 - 32:00 Ahkion vetäminen, naruveto vai aisat?
32:00 - 32:43 Samulin mietteet talviretkeilystä",UC-qkeYYA0tyORf3sKB-DSzg,Sakke Raappana,12746.0,289.0,84.0,"Hobby,Lifestyle_(sociology),Tourism",61.969428,23.3613429,2023-12-06 06:34:00+00:00,PT32M44S,https://www.youtube.com/watch?v=bvAtO7EVBbE,Seitseminen
