channel_id,title,description,subscriber_count,video_count,view_count,topics
UCjifOn2M5T8IQ2ZHzAEL_pw,Ali Leiniö,"Tervetuloa mukaan reissuun! Retkeily ja vaeltaminen ovat minulle harrastus ja elämäntapa. Retkeily on vapautta ja seikkailua luonnossa, mutta myös itsensä haastamista ja monipuolisten taitojen opettelua. Teen reissukertomuksia retkiltäni ja vaelluksiltani. Tavoitteenani on taltioida retkeilyn ja luonnon tunnelmia, ja muodostaa niistä hyviä tarinoita.

Tämän kanavan sponsoreina toimivat sen katsojat - en tee kaupallisia yhteistöitä lainkaan. Voit halutessasi tukea kanavan toimintaa liittymällä sen jäseneksi 2€ kuukausimaksulla.
",79600,141,18127667,"Tourism,Lifestyle_(sociology),Hobby"
UCwc-FBWTCYD-hMg0thnFHaA,TravelCampingLiving,"Willkommen bei TravelCampingLiving. Ich bin Kai, begann 2017 mit meinem damals neuen Globecar Campscout B Kastenwagen, genannt Zottl, durch die Gegend zu fahren. Wochenendtrips und mehrwöchige Urlaube wie auch Geschäftsreisen. 
Mittlerweile hat sich mein Leben stark verändert. 2021 kündigte ich meinen Job im Herbst und entschied, ein Jahr auf Reisen zu gehen. Aus dem einen Jahr wurde ein zweites. Nun, 2024, bin ich im dritten Reisejahr. 
Meine Wohnung in der Schweiz ist vermietet, ich wohne seit März 2023 in meinem Kastenwagen. Finanziert wird alles über YouTube Videos, Partnerschaften, meinen Blog und harte und viel Arbeit. 
Wir reisen hauptsächlich, produzieren Reisevideos und besuchen Camping Messen wie die CMT und den Caravan Salon in Düsseldorf. 
Länder die wir bisher bereist haben: Marokko, Skandinavien (Winter wie Sommer), Island, Irland, Schottland, Wales, ein wenig England, Schweiz, Spanien, Frankreich & Rumänien. 
Zu all dem findet ihr Reisevideos auf unserem YouTube Kanal. 
",65600,1624,35344596,"Tourism,Lifestyle_(sociology),Vehicle"
UCLpwR6XmlPAISBqllF7rY-Q,SOPULI,"Oon kalastanut pikkupojasta asti vähän ympäri Pohjois-Pohjanmaan rannikkoa ja Lapissa. Keväällä 2017 aloin julkaista kuvailemiani videoita kalareissuilta ja nykyään tulee tehtyä tubevideoita, jotka eroaa hiukan siitä alkuperäisestä reissutyylisestä kuvaamisesta. Kalastuspuolelta mielenkiintoni kohdistuu pääosin aktiiviseen kalastamiseen. Tykkään rakennella kaikenlaista kalastukseen liittyvää.
",58900,616,21860355,"Hobby,Lifestyle_(sociology),Pet"
UCG614ZRaNp2S5uACi5Lr9vQ,JayBe Outdoor TV,"Unterwegs im Hier und Jetzt! Innen und Aussen! Ich liebe es, achtsam und intensiv mit der Natur in Kontakt zu sein und die eigene Freiheit zu leben. Auf JayBe.tv zeige ich Euch meine Outdoor-Abenteuer, dokumentiere meine Reisen im Camper und teile mit Euch meine Lebenserfahrung von Wohnmobil-Technik bis Selbstverwirklichung. Oder ich sitze einfach nur an einem schönen Ort und genieße das Wunder der Natur und lasse die Bilder sprechen...

Weitere Infos und aktuelle Beiträge findet Ihr auf meiner Webseite: https://www.JayBe.tv

HINWEIS! 
Ich verbringe bereits die maximal mögliche Zeit mit der Beantwortung von Kommentaren und Nachrichten. Ich leiste keine persönliche Beratung oder Unterstützung und beantworte keine technischen Fragen per eMail! 
Bitte Fragen immer unter den jeweiligen Videos bei Youtube als Kommentar posten! Da antworte ich i.d.R immer.",57500,440,12624937,"Hobby,Technology,Tourism,Lifestyle_(sociology)"
UC12eLYGCkQ77sLYwyH6jtuA,Log Shige,"ソロキャンプやブッシュクラフトや釣りの動画をアップしてます。
動画を通じて自然環境保護に関心をもって頂き、少しでも環境が改善されるよう願っております。
微力ながら、そのような思いで活動しているチャンネルです。
I upload videos of solo camp, bushcraft and fishing.
We hope you will be interested in protecting the natural environment through videos and hope that the environment will be improved even a little.
It is a channel that works with such thoughts, though weakly.

【企業・マスコミ・団体の皆様へ】
商品のレビュー依頼、番組出演の依頼など、沢山のメールありがとうございます。光栄に思っております。
しかしながら、このチャンネルは営利目的での運営をしておりませんので、
単純な商品紹介やレビューなどはお断りしてます。
自然環境保護・改善、アウトドアマナーの改善・活性化に繋がるような支援は協力させて頂きますので、お気軽にメール下さい。",54400,67,10584490,"Tourism,Lifestyle_(sociology),Hobby"
UCoiAETJrmBEnVhIeL6EsU8g,Berta Pim,,53600,141,2574708,Lifestyle_(sociology)
UCokkwLDA6d2RFwbm0EpYMfQ,Pauliina Mäki,"Päätin toteuttaa mun unelman ja muutin Lappiin, Ivaloon mun miehen ja husky lauman kanssa🐶 Mun kanavalla pääset näkemään millaista elämä täällä Lapissa on ja oppimaan rekikoirista!

Ota yhteyttä: pauliina.maki@hotmail.com
",52500,369,20757928,"Lifestyle_(sociology),Pet"
UCqj6sY5DiKZDr_SfKTeelqA,IKILOMALLA,"Olemme kotkalainen lapsiperhe ja asumme omakotitalossa Kymijoen rannalla. Meidän perheeseen kuuluvat reilu kolmekymppiset vanhemmat Titta ja Thomas sekä kolme tytärtä.

Videoidemme aiheet liittyvät tavalliseen lapsiperhearkeen, omakotitaloasumiseen ja remontointiin, yrittäjyyteen ja lapsiperhematkailuun. Julkaisemme videoita viikoittain ja videomme sopivat katsottavaksi koko perheelle.

Olemme videotoimistoyrittäjiä ja somealan ammattilaisia eli teemme videoita sekä vaikuttajamarkkinointia työksemme.

SEURAA SOMESSA
💗 Instagram: ikilomalla - https://www.instagram.com/ikilomalla/
💗 Tiktok: ikilomalla - https://www.tiktok.com/@ikilomalla
💗 Facebook: ikilomalla - https://www.facebook.com/ikilomalla
💗 Nettisivut: http://www.ikilomalla.fi

Kaupalliset yhteistyöt ja vaikuttajamarkkinointi : ikilomalla@gmail.com
Yritysvideot Videotoimisto ikimedia : www.videotoimistoikimedia.fi
Videokuvaus ja editointi: Thomas Halloran ja Titta Halloran
",50200,425,13987709,Lifestyle_(sociology)
UCep1YfYr_CzwymzB6yGrG1w,Finnish Playground,"I like to build stuff with my own hands. Woodworking, gardening and outdoors makes me feel alive. In my spare time I try to film some of my projects and share for anyone interested.

By no means I'm not a professional builder or gardener but I'm learning all the time.",50100,84,12067349,"Hobby,Lifestyle_(sociology)"
UCs4N6Uyjqsszr12v6J-W4Iw,Anniina Jalkanen,"Teimme kesällä 2019 suuren elämänmuutoksen ja muutimme kaupungista vanhalla maatilalle Etelä-Savoon. Kesällä 2024 teimme suuren elämänmuutoksen 2.0 ja muutimme vanhalle kalastajatilalle Turun saaristoon. Kanavallani näet perhe-elämää saaristossa, eläimiä ja remppaprojekteja.

Löydät minut myös Instagramista @anniinajalkanen !

Yhteydenotot: anniinajalkanen@gmail.com

Tervetuloa seuraamaan! 

-

In the summer of 2019, we made a big life change and moved from the city to the Finnish country side to an old farm. Now we are making a big life change 2.0 and moving to an old fishing farm in the Turku archipelago.

You can also find me on Instagram @anniinajalkanen !

Contact: anniinajalkanen@gmail.com

Welcome to follow!
",47500,459,12934719,Lifestyle_(sociology)
UCkUBhVRG7sWo7EgFD7dADyA,YOTTO's Odd One Out,"Odd One Out is a record label by YOTTO. We form our experience together. We believe in quality. We create music for open hearts and closed eyes. Underneath, we are all Odd Ones.
",46000,170,9372695,"Music,Electronic_music,Pop_music"
UCgD-XYMlD1JxA_hlFoPPSOg,Manaatti,"Suomen suurin sähköpyörä- ja sähköhärvelikanava YouTubessa!
Olen harrastanut sähköpyöriä vuodesta 2014 lähtien, eli 10 vuoden kokemuksella aiheesta jaan omia sähköhärvelikokemuksiani.
Teen YouTube videoita nyt päivätyökseni, sisältö laajentuu myös kohti Off Grid elämistä sisältäen aurinkopaneeli järjestelmät ja intohimona uudet energiavarastoinnin teknologiat.

Voit tukea kanavan toimintaa liittymällä kanava jäseneksi, lisäksi saat oikeudet nähdä exlusiivisia videoita➡️ https://www.youtube.com/@BossManaatti/join

Onko kysymyksiä tai jäikö joku asia mietityttämään videossa? Liityy discordiin +2000 jäsenen mukaan juttelemaan mistä tahansa sähköhärvelistä ➡️ https://discord.gg/4fmC4TTsvJ 

Etsimässä sähköpyörää/lautaa? Katso ajantasalla olevat alennuskoodit uusimman videon kuvauksesta. Käyttämällä alennuskoodeja tuet kanavan toimintaa!

Jos haluat tehdä kaupallista yhteistyötä tai yhteisvideoita kanssani, laita sähköpostia osoitteeseen bossmanaatti@outlook.com
",44000,542,13550387,"Lifestyle_(sociology),Vehicle"
UCC5vubsnFBpy-lFB8S8rZEg,Anni´s show ,Anni from Finland!,43800,225,4344903,Lifestyle_(sociology)
UCc9VMalVUyXKHpGqKXIu3OA,shawneydepp,"Documenting my life, adventures and thoughts into short stories. From the sunny island Singapore 🇸🇬 

Lets make some magic. Email me at shawnekoh@gmail.com for any content related opportunities.",41900,383,5428825,"Tourism,Lifestyle_(sociology),Hobby"
UCt_lg_eX1sI5oqInlkRtj8Q,Mraknup,"The incredible beauty of the Earth. I share relaxing moments that I capture about fire ,fireplace, campfire and while going around forests and fields and flying above lakes,forests, towns, villages with 4K drone, mostly nature and nature sounds videos, also travel and relaxation videos.
tags: fire, fireplace, campfire,meditation music, relaxing music, rain sounds, sleep music, music for meditation, music for sleep, , tropical music, celtic music, relaxing sounds,  chinese music, tibetan singing bowl, meditation mantra, meditation, sleep, relax, study, rain music, ocean waves, wave sounds, beach sounds, nature sounds

Please don't ask for permission, I'm not allowed to give any.",40200,697,15572701,Lifestyle_(sociology)
UCAf7IlFJgmFLlpzVyF16n0Q,FISHKA,"Здравствуйте

Мы рады приветствовать Вас на нашем канале.

Наш канал посвящен рыбалке, подводной охоте и вообще отдыхе на природе. 

Если вас интересуют темы поимки рыбы, отдыха на водоемах, подводных съемок, то думаю здесь вы сможете найти для себя что-нибудь интересное.

Приятного просмотра!",39600,260,21664883,"Hobby,Lifestyle_(sociology),Pet"
UCF1QkOrhIPdfQgIlEKIKMoQ,Khalid Siddeeq,,35700,54,3341410,"Lifestyle_(sociology),Tourism"
UCZOcNaEgjjIQJ-3gz3B2qdg,KalastusKanava,"Jokaisen kalastajan kanava, jossa on niin viihdettä kuin hyödyllisiä vinkkejä! KalastusKanavalla esitetään kalastussarjoja ja vlog-henkisiä videoita maailman hienoimmasta harrastuksesta. 

Kanavan ylläpitäjän roolissa autan mielellään kalastuskysymyksissä, joten laitapa kommenttia videoiden alle, jos voin olla avuksi! Elämäntapani ja työni on kalastus – kuljen kamera mukana ja kuvaan kalastusreissuja kavereiden kanssa. Yleensä kuvaan ystäviäni, mutta toisinaan olen myös itse kameran edessä ikään kuin kalastustubettaja!

Ota yhteyttä, jos sinulla on mitä vaan kysyttävää tai ideoita!

Kalastusterveisin
Mika Viitanen

P.S. Instagramissa ja Twitterissä löydät minut nimimerkillä @maastokuvaaja ja kanavalla on Instassa oma tili @kalastuskanava",32000,487,14409189,"Hobby,Lifestyle_(sociology),Pet"
UCPodzGcTvM7X9vQbpmc7oIQ,Evgeny Finn,"Привет друзья! Меня зовут Евгений. Я и моя семья очень любим путешествовать, на моём канале Вы увидите разное видео о путешествиях на машине и кемпере доме на колесах.  Я очень люблю посещать интересные места, музеи, шоу и прочие достопримечательности. В особенности я люблю природу. Я снимаю видео ролики и делюсь ими с Вами.  Мне нравится дайвинг и параплан. Немножко занимаюсь плаванием. Подписывайтесь на мой канал, пишите комментарии, рад новым знакомствам. Добро пожаловать.

Пишите по вопросам сотрудничества!",30100,138,8086910,"Lifestyle_(sociology),Tourism"
UC17ixTOEP-Ca1CTJ8Z88o8Q,Veksu,"Taas kerran keli on mitä mahtavin!

Tervetuloa mahtavien ulkoilukohteiden äärelle! Tämä kanava sai alkunsa vuonna 2012 ulkoilu- ja kalastussarjasta Kainuun taikaa, joka on vienyt katsojat syvälle Suomen kauniiseen luontoon tarjoten elämyksiä retkeilyn, kalastuksen ja luontokuvauksen parissa.

Kanavani ei ainoastaan kerro tarinoita luonnosta, vaan myös siitä, miten voimme antaa takaisin. Olen Reliikki kierrätyspajan perustaja. Kierrätän käsityönä luonnosta, paikallisilta ja ulkoiluharrastajilta kerätyn muoviroskan uusiksi tuotteiksi omalla pajallani. Kerron muoviroskan aiheuttamista ongelmista sekä keinoista parantaa ympäristömme ja terveytemme tilaa.

Tule mukaan seuraamaan luontomatkojani, oppimaan luonnosta ja inspiroitumaan!🌲
",28200,344,3297365,"Pet,Lifestyle_(sociology),Hobby"
UCdMb6gGxs7jegl2NRJCAU7w,Urpoerämies,"Urpoerämies Productions tekee hyvällä huumorilla sävytettyjä kalastusvideoita. Videoillamme näytämme kalastuksen monipuolisuutta. Mukana on eri kalastustyylejä ja -lajeja, huikeita onnistumisia sekä katkeria epäonnistumisia. Kalastus on Urpoille elämäntapa: Ainutlaatuinen ja palkitseva harrastus, jossa pääsee nauttimaan luonnosta ystävien kanssa – myös täällä etelässä.",25400,135,3883187,"Lifestyle_(sociology),Hobby,Pet"
UCJTTFnzwO5qUUCPkIX_nRow,Running with Marc,"This channel is 𝘼𝙇𝙇 𝙏𝙃𝙄𝙉𝙂𝙎 𝙍𝙐𝙉𝙉𝙄𝙉𝙂 ! Running motivation, adventures, challenges, useful and honest running reviews and tips here for you to enjoy, naturally with a bit of fun along the way. So lace on up and enjoy the run.
",24700,531,3475824,"Health,Hobby,Lifestyle_(sociology),Sport"
UCTMehvyPg3CdzobAME-QLDQ,FLYING BEAR CLUB ••• ฟลายอิงแบร์คลับ,"TRAVEL x EDUCATION
พื้นที่สำหรับผู้รักการเดินทาง และ การเรียนรู้ตลอดชีวิต

Thank you for visiting us and welcome to Flying Bear Club! :)
ขอบคุณเพื่อนๆ ที่แวะเข้ามา และ ยินดีต้อนรับเข้าสู่ ฟลายอิงแบร์คลับ! :)

Contact | ติดต่อ
LINE OA : @flyingbearclub
Facebook : Flying Bear Club ••• ฟลายอิงแบร์คลับ

- - - 

At ""Flying Bear Club,"" everything is possible and all dreams hold true. We do everything we love and we share all things we believe in. We enjoy travelling to new places, cherishing fun education, and experiencing the wonders of nature and people. We smile, we eat, we laugh, and sometimes we cry. But every day when the sun rises up in the sky, we get up and run an extra mile to those places that have shone so brightly in our dreams. 

Let's hit the road together and explore the paths unknown! :) 
KEEP TRAVELLING & STAY CURIOUS!

- - -

Facebook ••• Flying Bear Club
Instagram ••• @flyingbearclub
LINE Official ••• @flyingbearclub
Website ••• flyingbear.club
Blogs ••• yamstergroup.com",22400,211,606283,"Lifestyle_(sociology),Tourism"
UCpEpQMTQj85Gbqvdt1gtQEg,Naturally Silent,"Elämää luonnossa 

Yksinkertaista eloa ja puuhasteluja metsämökillä sekä metsuriopintoja. 

Tervetuloa seuraamaan. 

🧡 Hilja
@luonnollisesti_hilja ",22100,92,3592354,"Hobby,Lifestyle_(sociology),Tourism"
UCBmJUAXrPv7-tc9MMAuPqVg,Majid Hussain Raza,My name is Majid!,21800,86,1309868,"Lifestyle_(sociology),Tourism"
UC3QVEpkzBP4rnvjFA5Sjirw,Kristof,"Hey :-)

Schön dass du hier auf meinem Kanal gelandet bist.
Ich bin Kristof, selbstständiger Coach für Bildbearbeitung und Fotografie. Meine Mission ist es: dir zu besseren Fotos zu verhelfen. Sei es durch die Bildbearbeitung oder die passende Fotografie.
Auf meinen Kanal hier findest du unzählige Tutorials rund um die Themen Lightroom, Photoshop und die Fotografie.
Aber auch meine Reisen, Hintergrundberichte oder der ein oder andere Review wird hier zu finden sein.

Ich freue mich wenn ich dir was beibringen darf und auf die gemeinsame Zeit die wir hier verbringen.

Beste Grüße,
Kristof


Mehr über mich und meinen Store findest du unter www.kristofgoettling.de",21600,456,2626805,"Hobby,Technology,Lifestyle_(sociology)"
UClhTpH14hALl_c6HXFhttew,Bike Touring Mike,"Hi, it's Bike Touring Mike here. I've been bike touring or bikepacking for the last 11 years. The idea of this channel is to motivate and inspire you to go out on your own great bikepacking adventures. And to show you that it doesn't always have to be that difficult, the best bikepacking bike is probably one that you already own. With a few tweaks you're ready to go. And that you don't have to go on a long trip abroad, instead you can find some great adventures close to where you live!

Contact: biketouringmike@gmail.com
",20900,196,2681968,"Hobby,Lifestyle_(sociology),Tourism"
UC9jWH7MoBrnoOEz0SYASF4w,Jesse Braun,"Tähän voisin kertoa taustojani, mutta eiköhän ne aukea paremmin videoilla. Tiivistettynä pidän eräilystä ja tekniikasta, sekä teen myös työkseni videoita.

Seuraa somessa:

Twitter: https://twitter.com/brauninjesse
Instagram: https://instagram.com/brauninjesse
Snapchat: Brauninjesse

Kaikenlaiset tiedustelut mielellään sähköpostiin!",20000,107,1791740,"Hobby,Lifestyle_(sociology),Tourism"
UCbl3DTHgsYFg2kP3djAn25g,Ruthless Fishing TV,"Videoilla esiintyvät tuotteet löydät meidän omasta verkkokaupasta:

https://www.ruthlessshop.fi/

Meidät löytää myös Facebookista sekä Instagrammista.

https://www.facebook.com/ruthlessfishing
http://www.instagram.com/ruthless.fishing
",19800,370,5149895,"Hobby,Lifestyle_(sociology),Pet"
UCbtDyD71xlUgGciUxpsLjXQ,Eetu Xitu - Ashmita & Rituraj,"An Assamese vlog about day to day life and travel experiences around the world.

Contact:
Facebook: https://www.facebook.com/EetuXitu
Instagram: https://www.instagram.com/rituraj_kaushik
",19200,73,615556,"Tourism,Lifestyle_(sociology)"
UCky2kJgj_iLvQPH0jyIcfTQ,Mehtamikko,"Vaellus- ja retkeilyvideoita Pohjolan erämaista ympäri vuoden, kalastusta unohtamatta. 

Seuratessa Mehtämikon hortoilua tiettömien teiden takana tutuksi tulevat niin Suomen, Ruotsin kuin Norjankin Lapin erämaat ja vaellusmaastot. Kesällä patikoidaan jalan ylipainoisen rinkan kanssa ja talvella suksitaan vielä painavamman ahkion edellä. Näillä reissuilla tuskin kaikki koskaan ihan putkeen menee, mutta se on osa seikkailua. Iso rautu on yleensä aina tähtäimessä, mutta harvemmin siiman päässä. Tärkeintä on kuitenkin, että reissuun pääsee, koska parasta on elämä erämaassa.

Sähköposti: mehtamikko [ät] gmail.com
",18100,86,2474046,"Hobby,Lifestyle_(sociology),Tourism"
UCHUgsiIvFxA2SxT7wO3DDMg,lyuke lyuke,,17600,75,8526501,"Hobby,Lifestyle_(sociology)"
UCeqy2sIBbWnrdZi-nssu9Sw,El Kärppä,"

Welcome to El Kärppä 

This is my style of doing things

Sometimes I make unspoken videos to foreign viewers.


Tervetuloa El Kärppä kanavalle.

Videoilla näkyvät tekemiset ovat minun tyylini tehdä asioita.


Yhteydenotot: 
elkarppa2@gmail.com




",17400,46,931414,"Tourism,Lifestyle_(sociology),Hobby"
UCdferMLksUToN7yDXkVpwaA,Vapaalla jalalla,"Retkeilykalastusta Kainuun korvesta Lapin tuntureille.
Kalastus ✕ Vaellus ✕ Eräily

Jos viihdyit videoiden parissa, tilaa kanava ja ota myös muut somet haltuun! Blogin ja verkkokaupan löydät osoitteesta: www.vapaallajalalla.fi

Kommenttia ja viestiä voit laittaa videoihin tai sähköpostilla: posti (a) vapaallajalalla.fi",17300,91,2442039,"Pet,Hobby,Lifestyle_(sociology)"
UC1pEEnwpRgoL61gLmJPKtyA,Camperlust,"Welcome aboard Goldie 🚐, our 1998 Fiat Ducato 1.9TD motorhome. 
We are Emanuela and Matteino. 👋🏻 
We travel unhurriedly in Italy and Europe exploring Nature, hiking and visiting the most beautiful cities! 
Follow us also on Instagram 👉🏻 @camperlust_
",17200,449,3092895,"Tourism,Lifestyle_(sociology)"
UCkCMSYw068Fb8tcnA5dblzA,Antti Autti,"Professional snowboarder from Finland. Hoping to inspire you with my projects! 
arcticlines.com
",17100,43,1921993,"Tourism,Sport,Hobby,Lifestyle_(sociology)"
UCBIJ42YHjV4vdfDb-pcW-Uw,Jaskiniowiec,"Witam. Tu Jaskiniowiec.
Ćwiczę mieszankę surwiwalu, bushcraftu i partyzantki.
Zazwyczaj to włóczęga lasami i nawigacja, bushcraft i prosta ale z ""rodzynką"" kuchnia polowa.
I zawsze - ciekawa przygoda z wnioskami.
Psychologia przetrwania, podstawowa wiedza militarna, samodyscyplina, szacunek do natury - mogą pomóc nam nie tylko w lesie ale też w życiu codziennym.
Swoją pasją chcę zachęcić was do aktywności, zwinności myślenia, hartowania charakteru oraz szacunku do otoczenia.
Mam pochodzenie Polsko-Ukraińskie. Napewno zauważycie mój akcent na filmach. Ale kumulacja technik i wiedzy w moich materiałach ma szerszą geografię. Obejmuje szkołę zarówno zachodnią jak i wschodnią.
Oferuję testy ekwipunku i kierunków turystyczno-wakacyjnych: jaroslaw.lebidko@gmail.com
Kanał przyjazny młodzieży: brak alkoholu, tytoniu i leksyki nienormatywnej.
#Natura, #Las, #Przetrwanie, #Survival, #BushCraft, #Outdoor, #Militaria, #Partyzantka, #Ognisko, #Biwak, #Jaskiniowiec, #turystyka, #podróże",16600,214,2336813,"Tourism,Lifestyle_(sociology),Hobby"
UCTPcClOzWlxnr2uaxUgOAtw,asitis,"Documenting the world as it is. City and nature video walks and cycling tours in 4K and in High Quality Binaural Audio. My goal is to capture the environment as authentic and relaxing as possible. I have a passion for exploring and love for videography!

I am focusing on walking tours (cities and nature) mainly in Helsinki and around Finland but occasionally from other countries too. I am uploading several videos every week. I make subtitles for info about places, landmarks and buildings for some videos. You can turn them on by clicking CC.

If you'd like to, you can support the channel by liking, commenting, subscribing or donating.

If you want yourself blurred out of the video or removed from thumbnail, please send me e-mail.

Do not use my videos without my permission. For licensing, send me e-mail. Thank you and welcome to the channel!
",16100,306,4858939,"Tourism,Lifestyle_(sociology)"
UCwIdVTOpsYi_r1zcq-ykP5w,Kalastajan maailma,"Terve ystäväiseni ja tervetuloa mun kalastusvideo ""päiväkirjan"" pariin. Mun nimi on Otto ja olen kotoisin Helsingistä. Kalastan ympäri Suomen eri kalastusmuotoja hyödyntäen. Tilaa kanavani ja tervetuloa mukaan:)",14600,287,3029439,"Hobby,Lifestyle_(sociology),Pet"
UCsmA7kV6ko9mE__z57sGOBA,FeelFreeOnTour,"Impressionen und informatives  von unseren Touren, Routen und Reisen mit dem Wohnmobil und neuerdings mit Wohnwagen bzw. interessantes rund um´s Campen. Wir sind mit 3 Kindern und einem Maremmen-Abruzzen Schäferhund unterwegs: deswegen gibt´s auch immer mal wieder Einblicke in unser Familienleben bzw. wie der Urlaubsalltag mit Kindern und Hund im Wohnwagen so aussieht.

Bei uns steht das HOBBY Reisen und Camping im Mittelpunkt.
Wer mehr wissen möchte über uns oder die Reiserouten und genauen Standorte der Campingplätze wird auf unserer Homepage fündig!

Da uns der Kanal aber als Privatpersonen mit Kindern zu ""öffentlich groß"" wird, gibt es seit Sommer 2022 viele Videos nur noch im Mitgliederbereich. Wir laden Euch aber gerne ein Kanalmitglied zu werden: https://www.youtube.com/channel/UCsmA7kV6ko9mE__z57sGOBA/join

Viel Spaß auf unserem Kanal FeelFreeOnTour",14600,506,6430772,"Tourism,Lifestyle_(sociology),Hobby"
